年度	年季	股票代號	代號	股票名稱	名稱	市場別	財報類別	流動資產(千)	　現金及約當現金(千)	　透過損益按公允價值衡量之金融資產–流動(千)	　透過其他綜合損益按公允價值衡量之金融資產–流動(千)	　備供出售金融資產–流動(千)	　持有至到期日金融資產–流動(千)	　按攤銷後成本衡量之金融資產–流動(千)	　避險之金融資產–流動(千)	　合約資產–流動(千)	　以成本衡量之金融資產–流動(千)	　無活絡市場之債務工具投資–流動(千)	　短期投資合計(千)	　避險之衍生金融資產–流動(千)	　應收票據淨額(千)	　應收票據–關係人淨額(千)	　應收帳款淨額(千)	　應收帳款–關係人淨額(千)	　應收帳款與票據合計(千)	　應收建造合約款(千)	　應收建造合約款–關係人淨額(千)	　應收營業租賃款淨額(千)	　應收營業租賃款淨額–關係人淨額(千)	　應收融資租賃款淨額(千)	　應收融資租賃款淨額–關係人淨額(千)	　其他應收款(千)	　其他應收款–關係人(千)	　本期所得稅資產(千)	　生物資產(千)	　存貨(千)	　在建工程(千)	　預付款項(千)	　取得合約之增額成本–流動(千)	　待退回產品權利–流動(千)	　履行合約成本–流動(千)	　其他流動資產(千)	非流動資產(千)	　透過損益按公允價值衡量之金融資產–非流動(千)	　透過其他綜合損益按公允價值衡量之金融資產–非流動(千)	　備供出售金融資產–非流動(千)	　持有至到期日金融資產–非流動(千)	　避險之衍生金融資產–非流動(千)	　按攤銷後成本衡量之金融資產–非流動(千)	　避險之金融資產–非流動(千)	　合約資產–非流動(千)	　以成本衡量之金融資產–非流動(千)	　無活絡市場之債務工具投資–非流動(千)	　採用權益法之投資(千)	　長期投資合計(千)	　不動產、廠房及設備(千)	　　土地(千)	　　土地改良物(千)	　　房屋及建築(千)	　　機器設備(千)	　　運輸設備(千)	　　租賃資產淨額(千)	　　其他不動產、廠房及設備(千)	　礦產資源(千)	　使用權資產(千)	　投資性不動產(千)	　無形資產(千)	　　商標權(千)	　　專利權(千)	　　商譽(千)	　　其他無形資產(千)	　遞延所得稅資產(千)	　存出保證金(千)	　遞延費用(千)	　長期應收票據及款項(千)	　長期應收票據及款項–關係人(千)	　取得合約之增額成本–非流動(千)	　預付投資款(千)	　待退回產品權利–非流動(千)	　履行合約成本–非流動(千)	　其他非流動資產(千)	資產總計(千)	流動負債(千)	　短期借款(千)	　應付短期票券(千)	　透過損益按公允價值衡量之金融負債–流動(千)	　避險之衍生金融負債–流動(千)	　避險之金融負債–流動(千)	　合約負債–流動(千)	　按攤銷後成本衡量之金融負債–流動(千)	　以成本衡量之金融負債–流動(千)	　應付票據(千)	　應付票據–關係人(千)	　應付帳款(千)	　應付帳款–關係人(千)	　應付建造合約款(千)	　應付建造合約款–關係人(千)	　其他應付款(千)	　其他應付款項–關係人(千)	　應付租賃款–流動(千)	　淨確定福利負債–流動(千）	　本期所得稅負債(千)	　負債準備–流動(千)	　與待出售非流動資產直接相關之負債(千)	　租賃負債–流動(千)	　預收款項(千)	　一年或一營業週期內到期長期負債(千)	　退款負債–流動(千)	　　一年或一營業週期內到期或執行賣回權公司債(千)	　　一年或一營業週期內到期長期借款(千)	　　一年或一營業週期內到期長期應付票據及款項－非關係人(千)	　　一年或一營業週期內到期長期應付票據及款項－關係人(千)	　財務保證負債–流動(千)	　其他流動負債(千)	非流動負債(千)	　透過損益按公允價值衡量之金融負債–非流動(千)	　避險之衍生金融負債–非流動(千)	　避險之金融負債–非流動(千)	　按攤銷後成本衡量之金融負債–非流動(千)	　以成本衡量之金融負債–非流動(千)	　合約負債–非流動(千)	　應付公司債(千)	　長期借款(千)	　長期應付票據及款項(千)	　長期應付票據及款項–關係人(千)	　長期遞延收入(千)	　特別股負債–非流動(千)	　長期負債合計(千)	　負債準備–非流動(千)	　遞延所得稅負債(千)	　租賃負債–非流動(千)	　淨確定福利負債–非流動(千)	　存入保證金(千)	　退款負債–非流動(千)	　財務保證負債–非流動(千)	　其他非流動負債(千)	負債總計(千)	股本(千)	　普通股股本(千)	　特別股股本(千)	　債券換股權利證書(千)	　預收股本(千)	　待分配股票股利(千)	　特別股轉換普通股權利證書(千)	資本公積(千)	　資本公積–發行溢價(千)	　資本公積–庫藏股票交易(千)	　資本公積–取得或處分子公司股權價格與帳面價值差額(千)	　資本公積–處分資產增益(千)	　資本公積–受贈資產(千)	　資本公積–採用權益法認列關聯企業及合資股權淨值之變動數(千)	　資本公積–合併溢額(千)	　資本公積–員工認股權(千)	　資本公積–認股權(千)	　資本公積–其他(千)	保留盈餘(千)	　法定盈餘公積(千)	　特別盈餘公積(千)	　未分配盈餘(千)	其他權益(千)	　國外營運機構財務報表換算之兌換差額(千)	　透過其他綜合損益按公允價值衡量之金融資產未實現評價損益(千)	　備供出售金融資產未實現損益(千)	　現金流量避險中屬有效避險部分之避險工具損益(千)	　國外營運機構淨投資避險中屬有效避險部分之避險工具損益(千)	　按公允價值衡量之金融負債信用風險變動影響數(千)	　確定福利計畫再衡量數(千)	　避險工具之損益(千)	　不動產重估增值(千)	　與待出售非流動資產直接相關之權益(千)	　其他權益項目(千)	庫藏股票(千)	共同控制下前手權益(千)	合併前非屬共同控制股權(千)	母公司業主權益(千)	非控制權益(千)	權益總計(千)	每股淨值(元)	原始每股淨值(元)	公告每股淨值(元)	負債及權益總計(千)	預收股款之約當發行股數(股)	母公司暨子公司所持有之母公司庫藏股(股)	銷貨收入淨額累計(千)	　銷貨收入累計(千)	　銷貨退回累計(千)	　銷貨折讓累計(千)	營業收入淨額累計(千)	營業成本累計(千)	營業毛利累計(千)	　聯屬公司間未實現利益累計(千)	　聯屬公司間已實現利益累計(千)	營業毛利淨額累計(千)	營業費用累計(千)	　推銷費用累計(千)	　管理費用累計(千)	　研發費用累計(千)	　預期信用減損損益累計(千)	　其他營業費用累計(千)	其他收益及費損累計(千)	　其他收益累計(千)	　其他費損累計(千)	營業利益累計(千)	營業外收入及支出累計(千)	其他收入累計(千)	　利息收入累計(千)	　租金收入累計(千)	　權利金收入累計(千)	　股利收入累計(千)	　廉價購買利益累計(千)	　手續費收入累計(千)	　違約金收入累計(千)	　歸墊收入累計(千)	　壞帳轉回利益累計(千)	　沖銷逾期應付款利益累計(千)	　其他收入累計(千)	其他利益及損失累計(千)	　處分不動產、廠房及設備利益累計(千)	　處分投資性不動產利益累計(千)	　處分無形資產利益累計(千)	　處分投資利益累計(千)	　售後租回移轉權利利益累計(千)	　使用權資產轉租利益累計(千)	　租賃修改利益累計(千)	　外幣兌換利益累計(千)	　透過損益按公允價值衡量之金融資產及負債利益累計(千)	　按攤銷後成本衡量之金融負債利益累計(千)	　當期原始認列生物資產之利益累計(千)	　生物資產當期公允價值減出售成本變動之利益累計(千)	　公允價值調整利益–投資性不動產累計(千)	　不動產、廠房及設備重估價利益累計(千)	　無形資產重估價利益累計(千)	　減損迴轉利益累計(千)	　手續費支出累計(千)	　停工損失累計(千)	　虧損性合約損失累計(千)	　保證合約損失累計(千)	　賠償損失累計(千)	　什項支出累計(千)	　處分不動產、廠房及設備損失累計(千)	　處分投資性不動產損失累計(千)	　處分無形資產損失累計(千)	　處分投資損失累計(千)	　售後租回移轉權利損失累計(千)	　使用權資產轉租損失累計(千)	　租賃修改損失累計(千)	　外幣兌換損失累計(千)	　透過損益按公允價值衡量之金融資產及負債損失累計(千)	　按攤銷後成本衡量之金融負債損失累計(千)	　當期原始認列生物資產之損失累計(千)	　生物資產當期公允價值減出售成本變動之損失累計(千)	　公允價值調整損失–投資性不動產累計(千)	　不動產、廠房及設備重估價損失累計(千)	　無形資產重估價損失累計(千)	　減損損失累計(千)	　其他利益及損失累計(千)	　處分不動產、廠房及設備淨損益累計(千)	　處分投資性不動產淨損益累計(千)	　處分無形資產淨損益累計(千)	　處分投資淨損益累計(千)	　售後租回移轉權利淨損益累計(千)	　使用權資產轉租淨損益累計(千)	　租賃修改淨損益累計(千)	　外幣兌換淨損益累計(千)	　透過損益按公允價值衡量之金融資產及負債淨損益累計(千)	　按攤銷後成本衡量之金融負債淨損益累計(千)	　當期原始認列生物資產之淨損益累計(千)	　生物資產當期公允價值減出售成本變動之淨損益累計(千)	　公允價值調整利淨損益–投資性不動產累計(千)	　不動產、廠房及設備重估價利淨損益累計(千)	　無形資產重估價淨損益累計(千)	　減損迴轉淨損益累計(千)	財務成本累計(千)	　避險工具之利益累計(千)	　歸因於所規避風險之被避險項目之利益–公允價值避險累計(千)	　現金流量避險無效而認列於損益之利益累計(千)	　現金流量避險有效而自權益轉列之利益累計(千)	　國外營運機構淨投資避險無效而認列於損益之利益累計(千)	　利息費用累計(千)	　負債性特別股股息累計(千)	　避險工具之損失累計(千)	　歸因於所規避風險之被避險項目之損失–公允價值避險累計(千)	　現金流量避險無效而認列於損益之損失累計(千)	　現金流量避險有效自權益轉列之損失累計(千)	　國外營運機構淨投資避險無效而認列於損益之損失累計(千)	　其他財務成本累計(千)	預期信用減損損益累計(千)	　預期信用減損利益累計(千)	　預期信用減損損失累計(千)	採用權益法之關聯企業及合資損益之份額累計(千)	　採用權益法認列之關聯企業及合資利益之份額累計(千)	　採用權益法認列之關聯企業及合資損失之份額累計(千)	除列按攤銷後成本衡量金融資產淨損益累計(千)	　除列按攤銷後成本衡量金融資產利益累計(千)	　除列按攤銷後成本衡量金融資產損失累計(千)	金融資產重分類淨損益累計(千)	　金融資產重分類利益累計(千)	　金融資產重分類損失累計(千)	營業外收入累計(千)	營業外支出累計(千)	稅前純益累計(千)	所得稅累計(千)	繼續營業單位損益累計(千)	停業部門損益累計(千)	合併前非屬共同控制股權損益累計(千)	稅後純益累計(千)	其他綜合損益累計(千)	　不重分類至損益之項目累計(千)	　　確定福利計畫之再衡量數累計(千)	　　不動產重估增值累計(千)	　　指定按公允價值衡量之金融負債信用風險變動影響數累計(千)	　　與待出售非流動資產直接相關之權益–不重分類至損益累計(千)	　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益累計(千)	　　避險工具之損益–不重分類至損益累計(千)	　　採權益法認列之關聯企業及合資其他綜合損益之份額–不重分類至損益累計(千)	　　不重分類至損益之其他項目累計(千)	　　與不重分類之項目相關之所得稅累計(千)	　後續可能重分類至損益之項目累計(千)	　　合併前非屬共同控制股權綜合損益淨額累計(千)	　　國外營運機構財務報表換算之兌換差額累計(千)	　　備供出售金融資產未實現評價損益累計(千)	　　現金流量避險中屬有效避險部分之避險工具損益累計(千)	　　國外營運機構淨投資避險中屬有效避險部分之避險工具損益累計(千)	　　與待出售非流動資產直接相關之權益–可能重分類至損益累計(千)	　　透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益累計(千)	　　避險工具之損益–可能重分類至損益累計(千)	　　採權益法認列關聯企業及合資其他綜合損益之份額–可能重分類至損益累計(千)	　　可能重分類至損益之其他項目累計(千)	　　與可能重分類至損益之項目相關之所得稅累計(千)	綜合損益累計(千)	稅後純益歸屬累計(千)	　母公司業主–稅後純益累計(千)	　非控制權益–稅後純益累計(千)	　共同控制下前手權益–稅後純益累計(千)	綜合損益歸屬累計(千)	　母公司業主–綜合損益累計(千)	　非控制權益–綜合損益累計(千)	　共同控制下前手權益–綜合損益累計(千)	EBITDA累計(千)	公告累計基本每股盈餘(元)	公告累計稀釋每股盈餘(元)	原始累計每股稅前盈餘(元)	原始累計每股稅後盈餘(元)	原始累計每股綜合盈餘(元)	累計每股稅前盈餘(元)	累計每股稅後盈餘(元)	累計每股綜合盈餘(元)	銷貨收入淨額(千)	　銷貨收入(千)	　銷貨退回(千)	　銷貨折讓(千)	營業收入淨額(千)	營業成本(千)	營業毛利(千)	　聯屬公司間未實現利益(千)	　聯屬公司間已實現利益(千)	營業毛利淨額(千)	營業費用(千)	　推銷費用(千)	　管理費用(千)	　研發費用(千)	　預期信用減損損益(千)	　其他營業費用(千)	其他收益及費損(千)	　其他收益(千)	　其他費損(千)	營業利益(千)	營業外收入及支出(千)	其他收入(千)	　利息收入(千)	　租金收入(千)	　權利金收入(千)	　股利收入(千)	　廉價購買利益(千)	　手續費收入(千)	　違約金收入(千)	　歸墊收入(千)	　壞帳轉回利益(千)	　沖銷逾期應付款利益(千)	　其他收入(千)	其他利益及損失(千)	　手續費支出(千)	　停工損失(千)	　虧損性合約損失(千)	　保證合約損失(千)	　賠償損失(千)	　什項支出(千)	　其他利益及損失(千)	　處分不動產、廠房及設備淨損益(千)	　處分投資性不動產淨損益(千)	　處分無形資產淨損益(千)	　處分投資淨損益(千)	　售後租回移轉權利淨損益(千)	　使用權資產轉租淨損益(千)	　租賃修改淨損益(千)	　外幣兌換淨損益(千)	　透過損益按公允價值衡量之金融資產及負債淨損益(千)	　按攤銷後成本衡量之金融負債淨損益(千)	　當期原始認列生物資產之淨損益(千)	　生物資產當期公允價值減出售成本變動之淨損益(千)	　公允價值調整利淨損益–投資性不動產(千)	　不動產、廠房及設備重估價利淨損益(千)	　無形資產重估價淨損益(千)	　減損迴轉淨損益(千)	財務成本(千)	　避險工具之利益(千)	　歸因於所規避風險之被避險項目之利益–公允價值避險(千)	　現金流量避險無效而認列於損益之利益(千)	　現金流量避險有效而自權益轉列之利益(千)	　國外營運機構淨投資避險無效而認列於損益之利益(千)	　利息費用(千)	　負債性特別股股息(千)	　避險工具之損失(千)	　歸因於所規避風險之被避險項目之損失–公允價值避險(千)	　現金流量避險無效而認列於損益之損失(千)	　現金流量避險有效自權益轉列之損失(千)	　國外營運機構淨投資避險無效而認列於損益之損失(千)	　其他財務成本(千)	預期信用減損損益(千)	　預期信用減損利益(千)	　預期信用減損損失(千)	採用權益法之關聯企業及合資損益之份額(千)	　採用權益法認列之關聯企業及合資利益之份額(千)	　採用權益法認列之關聯企業及合資損失之份額(千)	除列按攤銷後成本衡量金融資產淨損益(千)	　除列按攤銷後成本衡量金融資產利益(千)	　除列按攤銷後成本衡量金融資產損失(千)	金融資產重分類淨損益(千)	　金融資產重分類利益(千)	　金融資產重分類損失(千)	營業外收入(千)	營業外支出(千)	稅前純益(千)	所得稅(千)	繼續營業單位損益(千)	停業部門損益(千)	合併前非屬共同控制股權損益(千)	稅後純益(千)	其他綜合損益(千)	　不重分類至損益之項目(千)	　　確定福利計畫之再衡量數(千)	　　不動產重估增值(千)	　　指定按公允價值衡量之金融負債信用風險變動影響數(千)	　　與待出售非流動資產直接相關之權益–不重分類至損益(千)	　　透過其他綜合損益按公允價值衡量之權益工具投資未實現評價損益(千)	　　避險工具之損益–不重分類至損益(千)	　　採權益法認列之關聯企業及合資其他綜合損益之份額–不重分類至損益(千)	　　不重分類至損益之其他項目(千)	　　與不重分類之項目相關之所得稅(千)	　後續可能重分類至損益之項目(千)	　　合併前非屬共同控制股權綜合損益淨額(千)	　　國外營運機構財務報表換算之兌換差額(千)	　　備供出售金融資產未實現評價損益(千)	　　現金流量避險中屬有效避險部分之避險工具損益(千)	　　國外營運機構淨投資避險中屬有效避險部分之避險工具損益(千)	　　與待出售非流動資產直接相關之權益–可能重分類至損益(千)	　　透過其他綜合損益按公允價值衡量之債務工具投資未實現評價損益(千)	　　避險工具之損益–可能重分類至損益(千)	　　採權益法認列關聯企業及合資其他綜合損益之份額–可能重分類至損益(千)	　　可能重分類至損益之其他項目(千)	　　與可能重分類至損益之項目相關之所得稅(千)	綜合損益(千)	稅後純益歸屬(千)	　母公司業主–稅後純益(千)	　非控制權益–稅後純益(千)	　共同控制下前手權益–稅後純益(千)	綜合損益歸屬(千)	　母公司業主–綜合損益(千)	　非控制權益–綜合損益(千)	　共同控制下前手權益–綜合損益(千)	EBITDA(千)	公告基本每股盈餘(元)	公告稀釋每股盈餘(元)	原始每股稅前盈餘(元)	原始每股稅後盈餘(元)	原始每股綜合盈餘(元)	每股稅前盈餘(元)	每股稅後盈餘(元)	每股綜合盈餘(元)	營業活動現金流量累計(千)	投資活動現金流量累計(千)	籌資活動現金流量累計(千)	現金流量匯率影響數累計(千)	本期現金及約當現金增減數累計(千)	原始累計每股營業現金流量(元)	原始累計每股現金流量(元)	營業活動現金流量(千)	投資活動現金流量(千)	籌資活動現金流量(千)	現金流量匯率影響數(千)	本期現金及約當現金增減數(千)	原始每股營業現金流量(元)	原始每股現金流量(元)	固定資產比率(%)	固定資產對權益比率(%)	固定資產對長期負債比率(%)	固定資產對長期資金比率(%)	負債比率(%)	長期資金佔固定資產比率(%)	權益對負債比率(%)	權益對長期負債比率(%)	運用資本對資產總額比率(%)	淨值比率(%)	歸屬於母公司–淨值比率(%)	長期負債對淨值比率(%)	固定資產對淨值比率(%)	槓桿比率(%)	流動比率(%)	速動比率(%)	現金與流動資產比率(%)	現金與流動負債比率(%)	運用資本與流動資產比率(%)	短期借款與流動資產比率(%)	應付款項週轉率(次)	應付款項週轉率–不含關係人(次)	應付款項週轉率累季(次)	應付款項週轉率累季–不含關係人(次)	應付款項週轉天數(天)	應付款項週轉天數–不含關係人(天)	應付款項週轉天數累季(天)	應付款項週轉天數累季–不含關係人(天)	應收款項週轉率(次)	應收款項週轉率–不含關係人(次)	應收款項週轉率累季(次)	應收款項週轉率累季–不含關係人(次)	應收款項週轉天數(天)	應收款項週轉天數–不含關係人(天)	應收款項週轉天數累季(天)	應收款項週轉天數累季–不含關係人(天)	存貨週轉率(次)	存貨週轉率累季(次)	存貨週轉天數(天)	存貨週轉天數累季(天)	固定資產週轉率(次)	固定資產週轉率累季(次)	總資產週轉率(次)	總資產週轉率累季(次)	淨值週轉率(次)	淨值週轉率累季(次)	營業利益佔實收資本比率(%)	營業利益佔實收資本比率累季(%)	稅前純益佔實收資本比率(%)	稅前純益佔實收資本比率累季(%)	毛利率(%)	毛利率累季(%)	營業費用率(%)	營業費用率累季(%)	營業利益率(%)	營業利益率累季(%)	營業利益率(減利息費用)(%)	營業利益率(減利息費用)累季(%)	稅前純益率(%)	稅前純益率累季(%)	稅後純益率(%)	稅後純益率累季(%)	歸屬於母公司–稅後純益(%)	歸屬於母公司–稅後純益累季(%)	EBITDA利潤率(%)	EBITDA利潤率累季(%)	稅前權益報酬率(%)	稅前權益報酬率累季(%)	稅後權益報酬率(%)	稅後權益報酬率累季(%)	歸屬於母公司–稅後權益報酬率(%)	歸屬於母公司–稅後權益報酬率累季(%)	稅前資產報酬率(%)	稅前資產報酬率累季(%)	稅後資產報酬率(%)	稅後資產報酬率累季(%)	歸屬於母公司–稅後資產報酬率(%)	歸屬於母公司–稅後資產報酬率累季(%)	稅後固定資產報酬率(%)	稅後固定資產報酬率累季(%)	歸屬於母公司–稅後固定資產報酬率(%)	歸屬於母公司–稅後固定資產報酬率累季(%)	利息費用對營業收入比率(%)	利息費用對營業收入比率累季(%)	利息保障倍數(倍)	利息保障倍數累季(倍)	營收季變動率(%)	營收成長率(%)	營收成長率累季(%)	總資產成長率(%)	淨值成長率(%)	固定資產成長率(%)	研發費用比率(%)	研發費用比率累季(%)	管銷費用比率(%)	管銷費用比率累季(%)	現金流量比率(%)	現金流量比率累季(%)	營業利益季變動率(%)	營業利益成長率(%)	營業利益成長率累季(%)	稅前純益季變動率(%)	稅前純益成長率(%)	稅前純益成長率累季(%)	稅後純益季變動率(%)	稅後純益成長率(%)	稅後純益成長率累季(%)	歸屬於母公司–稅後純益季變動率(%)	歸屬於母公司–稅後純益成長率(%)	歸屬於母公司–稅後純益成長率累季(%)	稅額扣抵比率(%)	預計稅額扣抵比率(%)	員工人數	公告累計基本每股盈餘成長率(%)	公告基本每股盈餘成長率(%)	公告基本每股盈餘季變動(%)	原始每股營業額(元)	原始累計每股營業額(元)	原始每股營業利益(元)	原始累計每股營業利益(元)	期末股價淨值比	季底收盤價(元)	DPZ–Score	DPZ等級	Z–Score	Z等級	財務信評	WACC	加權平均股本(百萬)	更新日期	公告日期	建立日期	CTIME	RTIME
2000	200001	1201	1201	味全	味全	1	個別	3673491	253929												359648	3757	870276	52968	1286649											856345						1276568	11474045													5155798	96037		1129243	1616634			2313884				811267				811267		22747			120536		838095			4525602	15147536	5380471	2085209	502835							68627	118	572300	136029			457562				21719												1536072	5259931							560000	1295472	79560				1935032				796709	62218			2465972	10640402	5060629	5060629						1668596	22985			44405		82916				1518290	-2236723		40000	-2276723	14632	14632										0				4507134		4507134	8.91	8.91	8.9	15147536			2264324	2356945	26659	65962	2264324	1424638	839686			839686	750423	663342	75326	11755		0				89263	429898	7662	7662										0	-23502	1528							17036														4919																37147	0	1528							17036								-37147	124943						124943							0													596907	167009	519161					519161																									519161	519161							519161	1.03		1.03	1.03		1.03	1.03		2264324	2356945	26659	65962	2264324	1424638	839686			839686	750423	663342	75326	11755		0				89263	429898	7662	7662										0	-23502						4919	0	1528							17036								-37147	124943						124943							0													596907	167009	519161					519161																									519161	519161							519161	1.03		1.03	1.03		1.03	1.03		819321	-1295716	428078		-48317	1.62	-0.1	819321	-1295716	428078		-48317	1.62	-0.1	34.04	114.39	266.45	80.03	70.25	124.95	42.36	232.92	-11.27	29.75	29.75	42.93	114.39	236.08	68.27	52.36	6.91	4.72	-46.47	56.76	0.81	0.88	3.25	3.52	110.63	102.31	110.63	102.31	1.73	1.85	6.94	7.41	51.89	48.58	51.89	48.58	1.77	7.1	50.74	50.74	0.44	1.76	0.15	0.6	0.53	2.12	1.33	1.33	7.72	7.72	37.08	37.08	33.14	33.14	3.94	3.94	-1.58	-1.58	22.93	22.93	22.93	22.93	22.93	22.93	23	23	12.18	12.18	12.18	12.18	12.18	12.18	3.46	3.46	3.46	3.46	3.46	3.46	10.11	10.11	10.11	10.11	5.52	5.52	5.16	5.16	-10.14	-0.78	-0.78	-3.81	-26.18	-5.24	0.52	0.52	32.62	32.62	15.23	15.23		374.4	374.4																4.47	4.47	0.18	0.18	1.63	14.5	-1.43	9	0.43	9	5		5061	20181203		20151229	2015/12/29 上午 08:21:16	289353522
2000	200002	1201	1201	味全	味全	1	個別	3827371	310495												421566	21147	997114	51585	1491412											851689						1173775	10377498													5022751	91385		1131281	1615502			2184583				811267				811267		22454			123000		60029			4337997	14204869	5811592	2223832	560048							162796	1035	496576	165941			545531																1655833	4365310							560000	1049851	65520				1675371				788501	58934			1842504	10176902	5060629	5060629						1665055	22985			42029		81751				1518290	-2709825		40000	-2749825	12108	12108										0				4027967		4027967	7.96	7.96	7.95	14204869			4703912	4878737	58270	116555	4703912	3015858	1688054			1688054	1536995	1352954	154625	29416		0				151059	-113029	9532	9532										0	-57630	1788			1573				19961														7188	5146															68618	0	-3358			1573				19961								-68618	238498						238498							0													206421	319450	38030	-5654				43684																									43684	43684							38030	0.09		0.08	0.09		0.08	0.09		2439588	2521792	31611	50593	2439588	1591220	848368			848368	786572	689612	79299	17661		0				61796	-542927	1870	1870										0	-34128						2269	0	-4886							2925								-31471	113555						113555							0													-390486	152441	-481131					-475477																									-475477	-475477							-475477	-0.94		-0.95	-0.94		-0.95	-0.94		42503	-439702	405448		8249	0.08	0.02	-776818	856014	-22630		56566	-1.54	0.11	35.36	124.7	299.8	88.07	71.64	113.55	39.58	240.42	-13.97	28.36	28.36	41.59	124.7	252.66	65.86	51.2	8.11	5.34	-51.84	58.1	0.87	0.95	3.26	3.55	103.77	95.2	110.32	101.54	1.76	1.84	6.68	7.15	51.24	48.86	53.88	50.38	1.86	7.53	48.3	47.79	0.48	1.86	0.17	0.65	0.57	2.34	0.92	2.25	-7.15	0.57	34.78	35.89	32.24	32.67	2.53	3.21	-2.12	-1.86	-19.72	0.81	-19.49	0.93	-19.49	0.93	-19	1	-11.27	0.94	-11.14	1.09	-11.14	1.09	-3.28	0.26	-3.24	0.3	-3.24	0.3	-9.34	0.86	-9.34	0.86	4.65	5.07	-3.24	1.16	7.74	-7.59	-4.44	-6.04	-20.96	2.24	0.72	0.63	31.52	32.05	-13.37	0.73	-30.77	-36.5	30.08																4.82	9.3	0.12	0.12	1.14	9.05	-1.59	9	0.32	9	5		5061	20180830		20151229	2015/12/29 上午 08:24:52	279839454
2000	200003	1201	1201	味全	味全	1	個別	3779416	291912												444916	14344	1086973	31300	1577533											775243						1134728	10332627													5015505	91385		1141274	1591990			2190856				811267				811267		41410			125080		90563			4248802	14112043	5865187	2233849	549471							155559	9535	465019	191892			570113																1689749	4208869							560000	925677	44622				1530299				806705	47578			1824287	10074056	5060629	5060629						1665120	22985			42094		81751				1518290	-2705296		40000	-2745296	17534	17534										0				4037987		4037987	7.98	7.98	7.97	14112043			7365176	7618898	96950	156772	7365176	4748706	2616470			2616470	2305831	2034557	225805	45469		0				310639	-268016	19536	19536										0	-87171	1874			39453				21192														10217	5063			22047												112363	0	-3189			17406				21192								-112363	358128						358128							0													239802	507818	42623	-5654				48277																									48277	48277							42623	0.1		0.08	0.1		0.08	0.1		2661264	2740161	38680	40217	2661264	1732848	928416			928416	768836	681603	71180	16053		0				159580	-154987	10004	10004										0	-29541						3029	0	169			15833				1231								-43745	119630						119630							0													33381	188368	4593	0				4593																									4593	4593							4593	0.01		0.01	0.01		0.01	0.01		1165108	-1401428	225986		-10334	2.3	-0.02	1122605	-961726	-179462		-18583	2.22	-0.04	35.54	124.21	327.75	90.07	71.39	111.02	40.08	263.87	-14.78	28.61	28.61	37.9	124.21	249.48	64.44	51.22	7.72	4.98	-55.19	59.11	0.89	0.99	3.42	3.75	100.59	91.02	105.37	96.03	1.73	1.8	6.77	7.15	51.89	49.89	53.19	50.34	2.13	8.3	42.25	43.36	0.53	1.94	0.19	0.68	0.66	2.44	2.37	4.62	0.07	0.63	34.89	35.52	28.89	31.31	6	4.22	1.5	-0.64	0.17	0.58	0.17	0.66	0.17	0.66	0	1	0.11	1.06	0.11	1.2	0.11	1.2	0.03	0.29	0.03	0.33	0.03	0.33	0.09	0.95	0.09	0.95	4.5	4.86	1.04	1.12	9.09	-8.31	-5.87	-4.18	-14.2	2.61	0.6	0.62	28.29	30.69	19.14	19.86	158.24	-26.87	-7.09																5.26	14.55	0.32	0.32	1.11	8.85	-1.4	9	0.41	9	5		5061	20180830		20151229	2015/12/29 上午 08:28:42	279839485
